ID number,Surname,Faculty,Origin,Discussion viewed,Course module viewed,Quiz attempt submitted,Quiz attempt viewed,Quiz attempt summary viewed,Grade user report viewed,Quiz attempt started,Grade overview report viewed,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,Total Events,Label_Semester,Label_Final,Label_Total
HSS129_11,HSS129_Masked_11,Engineering,ws,4,80,6,7,6,15,6,0,0,51,7,11,3,0,2,2,2,6,0,15,18,2,2,2,1,124,32,18,50
HSS129_12,HSS129_Masked_12,Pharmacy,"web, ws",4,79,13,17,17,1,13,0,0,10,8,7,0,0,16,1,8,21,26,24,10,1,10,2,0,144,50,46,96
HSS129_13,HSS129_Masked_13,Veterinary Medicine,web,3,124,10,12,10,3,10,0,0,0,11,19,0,0,11,0,11,17,26,28,39,2,1,7,0,172,49,46,95
HSS129_14,HSS129_Masked_14,Agriculture,web,2,65,10,12,12,4,10,0,2,6,8,7,1,3,17,0,6,10,13,15,11,1,0,15,0,115,48,38,86
HSS129_15,HSS129_Masked_15,Veterinary Medicine,web,1,69,12,14,13,3,12,0,0,6,8,8,0,0,7,0,8,16,18,20,13,3,0,17,0,124,50,50,100
HSS129_16,HSS129_Masked_16,Agriculture,"web, ws",5,94,13,18,18,3,13,0,0,7,10,7,1,0,19,0,8,23,30,25,20,1,9,4,0,164,50,48,98
HSS129_17,HSS129_Masked_17,Science and Arts,"web, ws",1,43,11,14,13,1,11,0,0,0,8,7,0,0,9,0,7,19,16,17,8,2,0,1,0,94,50,48,98
HSS129_18,HSS129_Masked_18,Computer Information Technology,"web, ws",5,77,7,12,7,6,7,0,0,1,15,0,3,2,7,1,4,2,26,22,2,5,14,17,0,121,37,30,67
HSS129_19,HSS129_Masked_19,Engineering,web,13,83,11,13,13,5,11,1,0,16,20,8,0,4,10,0,7,29,26,18,9,1,0,2,0,150,50,44,94
HSS129_20,HSS129_Masked_20,Engineering,web,3,37,12,41,13,3,12,0,0,8,8,6,0,0,8,0,34,14,12,15,10,5,0,1,0,121,50,46,96
HSS129_21,HSS129_Masked_21,Engineering,"web, ws",3,49,11,14,14,6,11,0,0,0,14,9,0,0,6,0,8,21,14,17,8,1,4,6,0,108,49,46,95
HSS129_22,HSS129_Masked_22,Pharmacy,"web, ws",0,71,13,16,16,6,13,0,0,5,8,10,0,0,16,0,10,20,28,22,10,0,3,3,0,135,50,48,98
HSS129_23,HSS129_Masked_23,Agriculture,"web, ws",4,39,4,5,4,0,4,0,0,2,5,0,0,0,6,1,2,21,2,11,3,3,1,2,1,60,25,38,63
HSS129_24,HSS129_Masked_24,Pharmacy,"web, ws",1,21,2,2,2,2,2,0,0,1,10,1,0,1,7,0,2,0,2,5,0,0,0,3,0,32,10,48,58
HSS129_25,HSS129_Masked_25,Medicine,"web, ws",2,89,12,18,15,7,12,0,3,10,12,13,0,1,18,0,13,22,22,21,14,1,3,1,1,155,50,48,98
HSS129_26,HSS129_Masked_26,Applied Medical Sciences,"web, ws",11,138,13,16,16,30,13,1,2,10,14,15,0,9,20,2,15,41,30,33,12,11,11,13,0,238,48,48,96
HSS129_27,HSS129_Masked_27,Medicine,"web, ws",2,46,11,24,11,5,11,0,0,0,8,6,0,0,0,12,7,15,12,14,6,3,2,23,2,110,47,38,85
HSS129_28,HSS129_Masked_28,Engineering,web,8,52,3,10,3,1,3,0,0,11,2,1,0,0,0,2,0,5,16,10,2,6,4,21,0,80,9,28,37
HSS129_29,HSS129_Masked_29,Medicine,"web, ws",1,87,10,15,15,2,10,0,0,7,11,11,0,0,12,0,7,26,22,20,12,2,0,10,0,140,50,48,98
HSS129_30,HSS129_Masked_30,Veterinary Medicine,web,3,193,12,15,14,0,12,0,1,9,17,17,5,6,11,1,13,32,36,54,25,5,11,6,0,249,46,46,92
HSS129_31,HSS129_Masked_31,Nurse,"web, ws",2,73,10,15,15,1,10,0,0,4,8,7,0,0,8,0,7,28,26,21,4,1,4,8,0,126,50,48,98
HSS129_32,HSS129_Masked_32,Science and Arts,web,3,49,8,13,12,9,8,0,0,1,7,2,1,1,11,0,1,31,21,9,12,2,0,2,1,102,44,42,86
HSS129_33,HSS129_Masked_33,Agriculture,web,3,48,7,8,9,2,7,0,0,0,0,0,0,0,0,0,0,15,20,26,16,1,1,5,0,84,35,48,83
HSS129_34,HSS129_Masked_34,Medicine,web,22,175,11,12,12,2,11,0,1,17,38,28,4,2,21,17,19,30,25,30,9,2,0,2,0,245,48,50,98
HSS129_35,HSS129_Masked_35,Medicine,web,1,93,12,14,14,0,12,0,0,6,8,7,0,1,10,0,10,21,26,32,21,0,3,1,0,146,49,44,93
HSS129_36,HSS129_Masked_36,Veterinary Medicine,web,5,159,11,19,13,1,11,0,1,9,11,12,6,1,16,0,4,34,36,29,54,3,0,3,0,219,47,48,95
HSS129_37,HSS129_Masked_37,Agriculture,web,2,174,10,15,15,10,10,0,0,1,11,11,0,1,16,0,16,35,49,40,28,14,0,14,0,236,49,46,95
HSS129_38,HSS129_Masked_38,Nurse,"web, ws",0,58,12,17,17,5,13,0,1,11,10,9,0,0,18,0,7,15,19,15,14,0,1,2,0,122,50,48,98
HSS129_39,HSS129_Masked_39,Engineering,"web, ws",8,82,11,11,11,10,11,0,0,11,8,0,0,1,12,2,8,27,26,21,15,5,5,3,0,144,50,48,98
HSS129_40,HSS129_Masked_40,Nurse,"web, ws",5,54,9,10,10,2,9,0,1,0,0,7,0,0,10,0,6,30,18,16,7,0,0,4,0,99,45,38,83
HSS129_41,HSS129_Masked_41,Engineering,"web, ws",3,94,12,13,12,13,12,4,0,13,10,10,1,0,19,2,9,22,24,23,23,4,1,2,0,163,49,40,89
HSS129_42,HSS129_Masked_42,Nurse,"web, ws",8,76,10,14,19,5,10,0,0,0,10,8,0,0,7,0,1,40,38,22,11,0,0,5,0,142,50,44,94
HSS129_43,HSS129_Masked_43,Science and Arts,"web, ws",1,69,12,12,12,1,12,0,0,7,11,8,0,0,11,0,7,17,22,16,13,1,5,1,0,119,50,48,98
HSS129_44,HSS129_Masked_44,Computer Information Technology,"web, ws",4,22,3,4,4,6,3,1,0,1,6,1,0,0,1,4,10,14,0,0,3,1,1,4,1,47,20,32,52
HSS129_45,HSS129_Masked_45,Nurse,"web, ws",5,86,12,17,15,2,12,0,0,8,11,9,0,0,11,0,7,22,17,27,29,2,3,3,0,149,49,48,97
HSS129_46,HSS129_Masked_46,Nurse,"web, ws",24,109,12,16,14,2,12,0,0,20,18,17,0,0,30,0,10,31,20,20,18,3,0,2,0,189,50,48,98
HSS129_47,HSS129_Masked_47,Computer Information Technology,"web, ws",1,48,10,12,12,10,10,0,0,0,10,6,0,0,7,0,0,22,15,23,7,0,3,10,0,103,50,46,96
HSS129_48,HSS129_Masked_48,Pharmacy,"web, ws",9,117,12,12,12,1,12,0,4,14,15,8,0,12,7,0,8,20,19,23,30,1,2,12,0,175,49,50,99
HSS129_49,HSS129_Masked_49,Science and Arts,web,1,103,12,17,16,21,12,0,9,18,14,10,0,0,15,0,13,33,23,14,9,2,18,4,0,182,50,46,96
HSS129_50,HSS129_Masked_50,Nurse,web,2,34,11,11,11,2,11,0,0,0,9,6,1,0,7,0,6,14,15,14,9,0,1,0,0,82,50,48,98
HSS129_51,HSS129_Masked_51,Science and Arts,web,9,97,12,16,16,33,12,0,2,13,22,8,0,2,25,6,12,25,34,26,13,2,3,2,0,195,50,48,98
HSS129_52,HSS129_Masked_52,Agriculture,"web, ws",2,116,13,16,15,2,13,0,2,7,8,8,0,2,25,0,9,26,26,23,26,1,1,13,0,177,48,44,92
HSS129_53,HSS129_Masked_53,Applied Medical Sciences,"web, ws",2,62,11,11,10,12,11,0,0,0,6,6,0,0,7,0,5,28,22,17,11,2,4,11,0,119,49,46,95
HSS129_54,HSS129_Masked_54,Engineering,web,4,125,12,12,12,4,12,0,0,6,13,8,4,1,9,1,9,31,37,39,16,1,0,6,0,181,50,46,96
HSS129_55,HSS129_Masked_55,Computer Information Technology,web,2,49,8,9,8,10,8,0,0,2,6,1,0,0,13,0,8,19,14,14,1,2,2,12,0,94,43,44,87
HSS129_56,HSS129_Masked_56,Applied Medical Sciences,web,2,126,13,15,15,50,13,0,0,9,22,12,1,3,20,1,12,37,29,30,18,3,21,16,0,234,50,50,100
HSS129_57,HSS129_Masked_57,Veterinary Medicine,web,2,67,11,11,10,4,11,1,0,0,8,6,0,0,7,0,8,25,22,23,10,0,0,8,0,117,50,48,98
HSS129_58,HSS129_Masked_58,Science and Arts,web,2,68,9,15,11,0,12,0,0,10,14,8,0,0,7,0,6,21,15,15,11,1,0,9,0,117,50,26,76
HSS129_59,HSS129_Masked_59,Science and Arts,"web, ws",0,24,11,14,12,8,11,0,0,5,9,7,0,0,7,0,6,13,14,13,2,0,1,3,0,80,49,48,97
HSS129_60,HSS129_Masked_60,Nurse,web,4,79,9,11,10,0,9,0,0,0,2,12,1,1,7,0,6,32,20,20,9,1,4,6,1,122,50,48,98
HSS129_61,HSS129_Masked_61,Engineering,"web, ws",8,49,11,14,14,8,12,0,0,5,15,10,0,0,8,0,9,24,16,16,10,2,0,1,0,116,50,48,98
HSS129_62,HSS129_Masked_62,Pharmacy,"web, ws",0,34,10,11,11,1,11,0,0,1,4,7,0,0,6,0,7,16,11,18,8,0,0,0,0,78,50,50,100
HSS129_63,HSS129_Masked_63,Engineering,"web, ws",0,25,12,15,15,7,12,0,0,6,6,6,0,3,8,0,5,17,13,12,10,0,0,0,0,86,50,44,94
HSS129_64,HSS129_Masked_64,Nurse,web,3,74,12,14,14,3,12,1,0,6,10,7,0,0,13,0,8,18,24,21,11,4,9,2,0,133,49,48,97
HSS129_65,HSS129_Masked_65,Science and Arts,"web, ws",2,111,13,18,13,10,13,3,0,10,13,9,1,1,20,6,12,24,28,23,24,5,2,5,0,183,50,44,94
HSS129_66,HSS129_Masked_66,Engineering,"web, ws",2,166,11,13,11,2,11,0,0,9,7,2,1,0,17,4,15,46,36,32,39,2,0,5,1,216,50,48,98
HSS129_67,HSS129_Masked_67,Computer Information Technology,"web, ws",1,75,12,13,5,19,12,1,2,8,8,11,5,1,11,0,10,16,23,23,18,0,0,2,0,138,50,46,96
HSS129_68,HSS129_Masked_68,Pharmacy,web,0,26,9,10,9,4,9,0,0,5,7,5,0,0,9,0,0,14,12,13,1,0,0,1,0,67,44,44,88
HSS129_69,HSS129_Masked_69,Engineering,"web, ws",0,33,9,11,10,10,9,0,0,0,7,1,0,0,11,0,0,15,16,17,10,0,3,2,0,82,42,46,88
HSS129_70,HSS129_Masked_70,Applied Medical Sciences,web,0,96,11,16,15,3,11,0,0,24,21,5,0,10,14,0,12,18,15,20,4,0,1,7,1,152,48,44,92
HSS129_71,HSS129_Masked_71,Pharmacy,"web, ws",4,52,9,28,10,0,9,0,0,8,6,6,0,0,9,1,0,2,26,19,0,0,3,32,0,112,44,44,88
HSS129_72,HSS129_Masked_72,Applied Medical Sciences,"web, ws",2,63,11,13,12,22,11,0,0,0,11,7,0,0,10,0,10,26,42,17,7,1,1,2,0,134,49,46,95
HSS129_73,HSS129_Masked_73,Medicine,"web, ws",5,101,6,6,6,7,6,2,2,11,12,1,7,9,13,0,0,0,0,28,33,2,14,7,0,139,35,50,85
HSS129_74,HSS129_Masked_74,Veterinary Medicine,web,1,65,12,16,16,5,12,0,0,14,11,8,0,0,9,0,7,17,18,21,15,0,1,5,1,127,50,48,98
HSS129_75,HSS129_Masked_75,Nurse,web,2,60,11,14,12,8,11,0,0,7,7,4,1,1,17,1,7,19,21,18,11,1,0,3,0,118,50,46,96
HSS129_76,HSS129_Masked_76,Architecture and Design,"web, ws",11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,0,50,50
HSS129_77,HSS129_Masked_77,Applied Medical Sciences,"web, ws",2,78,9,10,7,7,9,0,0,5,17,3,0,0,10,0,0,15,31,20,20,0,0,1,0,122,39,44,83
HSS129_78,HSS129_Masked_78,Nurse,"web, ws",2,30,6,10,8,7,7,0,0,1,9,7,0,0,9,0,9,12,7,0,3,2,0,11,0,70,39,46,85
HSS129_79,HSS129_Masked_79,Pharmacy,"web, ws",2,65,13,15,15,2,13,0,0,9,11,7,0,0,15,0,6,21,15,21,10,1,5,4,0,125,50,48,98
HSS129_80,HSS129_Masked_80,Computer Information Technology,web,10,75,12,17,16,8,12,0,0,14,11,10,3,19,11,0,7,24,19,18,7,1,0,6,0,150,50,30,80
HSS129_81,HSS129_Masked_81,Computer Information Technology,"web, ws",1,36,10,11,11,1,10,0,0,0,6,7,0,0,11,0,6,17,10,14,8,1,0,0,0,80,49,42,91
HSS129_82,HSS129_Masked_82,Pharmacy,"web, ws",1,71,12,31,12,4,12,0,0,0,6,6,0,1,7,0,6,14,12,16,25,2,1,47,0,143,49,38,87
HSS129_83,HSS129_Masked_83,Computer Information Technology,web,4,18,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,24,2,30,0,50,50
HSS129_84,HSS129_Masked_84,Agriculture,web,7,109,10,11,4,6,10,0,2,11,16,6,8,4,8,0,10,32,16,22,2,2,13,5,0,157,38,44,82
HSS129_85,HSS129_Masked_85,Applied Medical Sciences,"web, ws",3,128,13,16,16,1,13,1,0,14,11,11,0,0,25,0,8,29,21,33,30,2,1,6,0,191,50,50,100
HSS129_86,HSS129_Masked_86,Computer Information Technology,"web, ws",4,38,9,10,9,4,9,0,0,0,7,10,0,0,6,0,4,22,15,14,3,1,0,1,0,83,44,48,92
HSS129_87,HSS129_Masked_87,Agriculture,"web, ws",21,187,12,15,12,71,12,0,8,9,14,6,0,0,38,10,28,48,60,42,20,10,11,26,0,330,49,46,95
HSS129_88,HSS129_Masked_88,Nurse,web,2,69,11,12,12,3,11,0,0,0,7,8,0,0,7,1,7,28,21,20,18,1,0,2,0,120,50,48,98
HSS129_89,HSS129_Masked_89,Veterinary Medicine,ws,2,105,12,14,14,2,12,0,0,12,12,11,0,1,10,2,8,35,15,22,18,1,7,7,0,161,50,46,96
HSS129_90,HSS129_Masked_90,Pharmacy,"web, ws",6,93,9,10,9,5,9,0,0,1,10,10,1,1,0,0,6,30,22,22,16,1,10,7,4,141,48,34,82
HSS129_91,HSS129_Masked_91,Nurse,"web, ws",1,64,11,11,10,3,11,0,0,0,7,7,0,0,13,0,8,15,16,15,20,1,4,5,0,111,49,46,95
HSS129_92,HSS129_Masked_92,Engineering,web,0,44,12,12,12,1,12,0,0,6,7,7,0,0,9,1,8,17,14,13,10,0,0,1,0,93,50,46,96
HSS129_93,HSS129_Masked_93,Architecture and Design,web,6,55,10,15,10,0,10,0,0,1,8,1,0,0,11,1,7,15,16,15,2,0,2,27,0,106,45,36,81
HSS129_94,HSS129_Masked_94,Applied Medical Sciences,web,0,37,10,11,10,2,10,0,0,0,7,6,0,0,8,0,0,17,15,15,10,0,2,0,0,80,50,46,96
HSS129_95,HSS129_Masked_95,Nurse,"web, ws",4,80,12,14,14,13,12,0,4,9,11,7,0,2,15,0,10,19,27,17,18,1,4,5,0,149,50,50,100
HSS129_96,HSS129_Masked_96,Pharmacy,"web, ws",5,40,7,8,8,0,7,0,0,0,7,7,0,0,0,0,6,4,17,13,14,3,1,3,0,75,47,46,93
HSS129_97,HSS129_Masked_97,Engineering,"web, ws",7,99,11,16,13,2,12,0,0,15,12,13,0,0,8,0,8,26,19,26,24,1,3,4,1,160,50,48,98
HSS129_98,HSS129_Masked_98,Applied Medical Sciences,"web, ws",1,47,11,11,9,6,11,0,0,0,6,22,0,2,15,0,6,13,14,11,6,0,0,1,0,96,50,48,98
HSS129_99,HSS129_Masked_99,Engineering,"web, ws",0,36,10,12,12,0,10,0,0,0,7,0,0,0,6,0,6,14,14,14,7,12,0,0,0,80,49,48,97
HSS129_100,HSS129_Masked_100,Medicine,"web, ws",0,38,5,32,2,0,5,0,0,0,0,0,0,0,9,0,0,0,0,16,23,0,0,34,0,82,18,32,50
HSS129_101,HSS129_Masked_101,Computer Information Technology,"web, ws",2,45,8,8,7,4,8,0,0,0,0,6,0,0,6,0,5,7,13,23,9,1,1,11,0,82,50,36,86
HSS129_102,HSS129_Masked_102,Computer Information Technology,web,3,114,11,16,14,11,11,0,0,9,5,8,1,0,17,2,10,25,26,33,38,2,2,2,0,180,50,48,98
HSS129_103,HSS129_Masked_103,Applied Medical Sciences,web,3,79,12,12,12,0,12,0,0,8,7,9,0,0,8,0,6,21,27,16,9,2,9,8,0,130,50,46,96
HSS129_104,HSS129_Masked_104,Science and Arts,"web, ws",2,74,8,9,8,0,8,0,0,0,1,7,0,0,7,0,11,16,21,19,20,1,0,6,0,109,45,46,91
HSS129_105,HSS129_Masked_105,Nurse,"web, ws",3,68,12,12,12,0,12,0,0,7,8,1,2,0,15,2,7,20,18,15,8,1,2,13,0,119,50,48,98
HSS129_106,HSS129_Masked_106,Engineering,ws,2,23,10,11,11,0,10,0,0,0,8,0,0,0,12,0,1,14,13,12,6,0,1,0,0,67,49,46,95
HSS129_107,HSS129_Masked_107,Pharmacy,"web, ws",4,124,12,13,13,3,12,0,2,15,9,8,0,2,8,0,8,30,33,21,21,2,4,18,0,181,50,44,94
HSS129_108,HSS129_Masked_108,Medicine,"web, ws",30,209,11,12,11,3,11,1,2,16,60,9,8,9,25,2,24,27,33,37,17,3,4,12,0,288,50,48,98
HSS129_109,HSS129_Masked_109,Computer Information Technology,web,0,36,9,11,11,12,9,0,0,1,10,6,0,0,8,0,1,16,12,16,8,2,0,8,0,88,49,50,99
HSS129_110,HSS129_Masked_110,Engineering,"web, ws",3,89,10,12,11,9,10,0,0,0,9,9,0,2,10,0,2,35,23,26,21,3,2,2,0,144,48,38,86
HSS129_111,HSS129_Masked_111,Computer Information Technology,"web, ws",2,37,11,14,13,3,11,0,0,7,6,6,1,0,10,0,8,20,14,15,1,2,0,1,0,91,49,48,97
HSS129_112,HSS129_Masked_112,Engineering,web,3,98,12,17,17,24,12,0,0,12,13,16,0,3,12,1,13,29,28,25,16,2,6,7,0,183,50,48,98
HSS129_113,HSS129_Masked_113,Computer Information Technology,web,1,39,13,15,13,50,13,0,0,5,8,9,0,0,16,2,6,24,25,23,16,10,0,0,0,144,49,48,97
HSS129_114,HSS129_Masked_114,Engineering,"web, ws",1,143,9,14,9,21,9,1,0,0,5,16,0,1,19,0,6,34,43,46,9,3,5,20,0,207,40,26,66
HSS129_115,HSS129_Masked_115,Nurse,web,4,88,9,12,11,0,9,0,0,6,12,8,0,1,1,0,7,8,35,15,24,1,0,15,0,133,50,34,84
HSS129_116,HSS129_Masked_116,Engineering,"web, ws",4,107,11,11,11,0,11,0,0,10,7,2,1,0,13,0,10,34,25,17,8,15,2,11,0,155,49,42,91
HSS129_117,HSS129_Masked_117,Pharmacy,web,2,52,13,17,15,6,13,0,0,8,8,6,0,0,14,0,7,19,19,12,8,11,0,6,0,118,50,48,98
HSS129_118,HSS129_Masked_118,Medicine,web,7,71,10,10,10,0,10,0,0,8,8,1,4,5,11,1,11,14,12,16,21,2,2,2,0,118,49,48,97
HSS129_119,HSS129_Masked_119,Science and Arts,"web, ws",0,38,10,10,10,6,10,0,0,1,3,8,1,2,9,0,6,14,13,15,8,0,4,0,0,84,50,48,98
HSS129_120,HSS129_Masked_120,Applied Medical Sciences,web,1,58,10,11,11,0,10,0,0,11,6,0,1,0,13,0,8,12,22,18,1,1,8,0,0,101,41,48,89
HSS129_121,HSS129_Masked_121,Engineering,web,7,33,10,12,12,12,10,0,0,0,10,6,0,2,10,0,8,16,8,19,10,3,0,4,0,96,49,44,93
HSS129_122,HSS129_Masked_122,Pharmacy,"web, ws",0,63,12,13,13,10,12,1,0,8,15,6,0,0,10,0,12,17,18,21,10,0,0,7,0,124,49,50,99
HSS129_123,HSS129_Masked_123,Nurse,"web, ws",1,56,12,14,14,3,12,0,0,0,8,11,0,0,15,0,8,19,20,20,10,0,1,0,0,112,50,44,94
HSS129_124,HSS129_Masked_124,Pharmacy,web,4,43,4,5,4,0,4,0,0,1,2,20,0,0,8,0,3,0,6,8,15,0,0,1,0,64,26,44,70
HSS129_125,HSS129_Masked_125,Nurse,web,19,195,9,18,14,3,9,0,0,0,0,36,8,1,8,13,22,39,48,33,8,2,6,42,1,267,33,26,59
HSS129_126,HSS129_Masked_126,Engineering,"web, ws",8,90,13,13,13,9,13,0,1,8,13,10,3,1,22,0,11,24,22,20,12,1,10,1,0,159,50,42,92
HSS129_127,HSS129_Masked_127,Pharmacy,web,0,36,11,16,16,2,11,0,0,0,7,6,0,0,8,0,8,19,16,16,10,1,1,0,0,92,50,44,94
HSS129_128,HSS129_Masked_128,Veterinary Medicine,web,5,71,10,20,16,47,11,1,0,4,15,6,0,0,11,0,7,32,44,36,20,2,0,2,2,181,50,44,94
HSS129_129,HSS129_Masked_129,Engineering,"web, ws",2,38,9,11,11,20,9,1,0,0,0,7,0,2,9,1,3,18,17,16,9,3,7,9,0,101,44,42,86
HSS129_130,HSS129_Masked_130,Pharmacy,ws,3,65,12,16,16,2,12,0,0,6,11,8,0,0,12,0,11,21,19,24,12,1,0,1,0,126,50,46,96
HSS129_131,HSS129_Masked_131,Nurse,"web, ws",2,76,11,14,13,4,11,0,0,0,1,10,0,1,21,0,12,28,20,18,16,3,0,1,0,131,50,46,96
HSS129_132,HSS129_Masked_132,Nurse,"web, ws",1,37,12,17,16,15,13,0,0,5,5,6,0,0,21,0,10,16,14,15,8,1,8,2,0,111,49,48,97
HSS129_133,HSS129_Masked_133,Applied Medical Sciences,web,1,13,6,6,6,0,6,0,0,0,0,6,0,0,6,0,6,6,0,12,0,0,0,2,0,38,37,46,83
HSS129_134,HSS129_Masked_134,Engineering,web,2,49,9,11,10,13,9,3,0,0,16,1,0,0,15,0,9,16,15,16,12,1,3,1,1,106,50,48,98
HSS129_135,HSS129_Masked_135,Engineering,web,2,100,11,13,13,6,11,0,0,6,16,0,0,0,9,0,7,22,20,22,46,0,2,5,1,156,50,46,96
HSS129_136,HSS129_Masked_136,Science and Arts,"web, ws",5,70,10,12,11,8,10,0,0,0,11,8,0,1,15,0,3,25,29,18,10,4,1,1,0,126,50,48,98
HSS129_137,HSS129_Masked_137,Agriculture,web,4,59,11,11,11,1,11,0,0,0,7,8,0,0,10,0,8,15,16,21,19,2,0,2,0,108,50,48,98
HSS129_138,HSS129_Masked_138,Engineering,"web, ws",3,140,13,17,17,4,13,0,0,7,13,9,0,1,24,2,12,36,35,31,27,1,3,6,0,207,50,48,98
HSS129_139,HSS129_Masked_139,Computer Information Technology,"web, ws",3,91,13,14,14,0,13,0,0,6,7,8,0,0,22,0,6,32,19,19,7,2,0,20,0,148,50,50,100
HSS129_140,HSS129_Masked_140,Nurse,web,6,110,12,15,14,2,12,0,1,2,9,10,0,1,23,1,6,22,31,19,10,4,5,27,0,171,50,50,100
HSS129_141,HSS129_Masked_141,Applied Medical Sciences,"web, ws",1,68,12,12,11,3,12,0,0,8,11,10,0,0,10,5,7,16,14,20,12,3,1,2,0,119,50,26,76
HSS129_142,HSS129_Masked_142,Pharmacy,"web, ws",0,45,12,13,12,3,12,0,0,7,14,7,0,0,8,0,7,15,14,16,9,0,0,0,0,97,50,46,96
HSS129_143,HSS129_Masked_143,Veterinary Medicine,"web, ws",2,63,11,22,15,57,11,0,1,1,12,10,11,1,16,2,10,25,51,20,18,1,1,1,0,181,50,48,98
HSS129_144,HSS129_Masked_144,Science and Arts,"web, ws",0,85,9,12,11,4,10,0,0,8,5,2,2,1,8,3,11,23,20,17,13,0,7,10,1,131,43,42,85
HSS129_145,HSS129_Masked_145,Veterinary Medicine,web,1,36,10,11,11,0,10,0,0,0,8,0,2,0,11,0,6,14,15,13,6,1,3,0,0,79,50,48,98
HSS129_146,HSS129_Masked_146,Nurse,web,4,57,11,13,14,3,12,0,0,4,10,9,0,0,14,0,7,22,15,17,11,1,3,1,0,114,50,46,96
HSS129_147,HSS129_Masked_147,Science and Arts,web,2,36,10,12,10,22,10,0,0,0,6,6,0,2,5,0,1,17,22,20,12,4,3,3,1,102,49,48,97
HSS129_148,HSS129_Masked_148,Science and Arts,"web, ws",1,60,11,16,12,1,12,0,0,6,9,10,0,0,11,0,9,16,12,27,9,3,1,0,0,113,50,44,94
HSS129_149,HSS129_Masked_149,Applied Medical Sciences,"web, ws",4,54,9,9,8,10,9,6,0,0,11,9,0,0,9,0,6,19,14,22,13,3,0,3,0,109,49,48,97
HSS129_150,HSS129_Masked_150,Nurse,"web, ws",1,31,8,16,11,0,10,0,0,0,9,8,0,0,14,0,9,15,5,8,4,1,2,2,0,77,48,48,96
HSS129_151,HSS129_Masked_151,Science and Arts,"web, ws",7,53,10,11,11,0,10,0,0,0,24,9,0,0,11,0,6,14,16,17,1,1,0,3,0,102,50,28,78
HSS129_152,HSS129_Masked_152,Medicine,web,0,44,10,14,10,5,10,0,0,0,0,9,0,0,11,0,7,15,14,18,14,1,1,3,0,93,50,44,94
HSS129_153,HSS129_Masked_153,Nurse,web,2,72,12,18,16,9,12,0,0,0,6,7,0,0,20,0,9,41,30,18,9,0,1,0,0,141,50,44,94
HSS129_154,HSS129_Masked_154,Pharmacy,"web, ws",3,78,9,10,9,6,9,0,0,0,0,10,0,0,10,0,8,26,25,11,34,0,0,0,0,124,50,40,90
HSS129_155,HSS129_Masked_155,Pharmacy,web,3,81,11,12,12,3,11,0,0,8,12,13,5,1,10,1,10,19,17,24,13,0,0,0,0,133,50,48,98
HSS129_156,HSS129_Masked_156,Pharmacy,"web, ws",7,73,11,12,11,4,11,0,2,9,19,14,0,0,10,2,7,17,14,16,12,1,0,6,0,129,47,48,95
